sound,rule,binomials,structure,predicted_order,binomials2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,key_resp_4.keys,key_resp_4.rt,rating_2.response,rating_2.rt,rating_5.response,rating_5.rt,date,frameRate,expName,session,participant
C:\Users\viola\Desktop\ENG_GHM\steloatsteloam.wav,FS,steloat and steloam           steloam and steloat,conj,L,,0,22,22,18,,,,,,,6,11.477,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\befoolpbefulp.wav,VL,befoolp and befulp                 befulp and befoolp,conj,R,,0,23,23,39,,,,,,,3,8.52,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\lisketlasket.wav,VQ,lisket-lasket                  lasket-lisket,red,L,,0,24,24,20,,,,,,,2,12.151,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\plengsterpengster.wav,ICN,plenster and penster            penster and plenster,conj,R,,0,25,25,47,,,,,,,5,17.661,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\stockelsteckel.wav,VQ,stockel and steckel             steckel and stockel,conj,R,,0,26,26,25,,,,,,,2,16.691,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\fibsterfeabster.wav,VL,fibster and feabster               feabster and fibster,conj,L,,0,27,27,38,,,,,,,3,10.185,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\hestamhestad.wav,FS,hestam and hestad            hestad and hestam,conj,R,,0,28,28,17,,,,,,,5,11.493,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\neasterheaster.wav,IS,neaster and heaster             heaster and neaster,conj,R,,0,29,29,5,,,,,,,5,17.984,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\lantiesvanties.wav,IS,lanties and vanties               vanties and lanties,conj,L,,0,30,30,6,,,,,,,3,13.793,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\horketnorket.wav,IS,horkit-norkit                norkit-horkit,red,L,,0,31,31,2,,,,,,,6,7.335,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\rizeptrizep.wav,FCN,rizept and rizep                   rizep and rizept,conj,R,,0,32,32,55,,,,,,,1,12.614,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\loskylesky.wav,VQ,losky and lesky                   lesky and losky,conj,R,,0,33,33,29,,,,,,,6,17.537,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\beetowbreetow.wav,ICN,beetow and breetow             breetow and beetow,conj,L,,0,34,34,48,,,,,,,2,11.294,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\deckeldockel.wav,VQ,deckel-dockel                dockel-deckel,red,L,,0,35,35,23,,,,,,,5,9.263,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\bepleckbeplock.wav,VQ,bepleck and beplock            beplock and bepleck,conj,L,,0,36,36,27,,,,,,,2,6.196,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\seroapseroapt.wav,FCN,seroap-seroapt          seroapt-seroap,red,L,,0,37,37,50,,,,,,,6,7.381,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\booteecboteect.wav,FCN,boteec and boteect              boteect and boteec,conj,L,,0,38,38,56,,,,,,,2,14.109,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\ristyreasty.wav,VL,risty-reasty                 reasty-risty,red,L,,0,39,39,34,,,,,,,2,9.215,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\redoolredoob.wav,FS,redool and redoob       redoob and redool,conj,R,,0,40,40,15,,,,,,,3,7.392,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\sigglestiggle.wav,ICN,siggle and stiggle                stiggle and siggle,conj,L,,0,41,41,46,,,,,,,3,6.653,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\loogleboogle.wav,IS,loogle-boogle              boogle-loogle,red,L,,0,42,42,0,,,,,,,3,9.847,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\restellresteg.wav,FS,restell-resteg              resteg-restell,red,R,,0,43,43,11,,,,,,,6,7.702,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\lishooclishoon.wav,FS,lishooc-lishoon           lishoon-lishooc,red,L,,0,44,44,12,,,,,,,5,7.716,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\revecrevect.wav,FCN,revec-revect               revect-revec,red,L,,0,45,45,54,,,,,,,1,10.774,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\teskerresker.wav,IS,            tesker and resker               resker and tesker                 ,conj,R,,0,46,46,7,,,,,,,3,15.759,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\plibsterpibster.wav,ICN,plibster and pibster              pibster and plibster,conj,R,,0,47,47,49,,,,,,,2,11.044,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\kizzykrizzy.wav,ICN,kizzy-krizzy               krizzy-kizzy,red,L,,0,48,48,40,,,,,,,5,9.671,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\bullgorboolgor.wav,VL,bullgor-boolgor            boolgor-bullgor,red,L,,0,49,49,33,,,,,,,1,5.877,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\lomickgomick.wav,IS,lomick-gomick            gomick-lomick,red,L,,0,50,50,4,,,,,,,3,13.191,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
C:\Users\viola\Desktop\ENG_GHM\tefoiltefoig.wav,FS,tefoil and tefoig                  tefoig and tefoil,conj,R,,0,51,51,19,,,,,,,5,6.28,,,2016_Feb_11_1535,31.9695925697,binomials,1,r114
